资源ID,分类ID,标题,网址,一句话简介,图标,角标,启用,排序
tinkercad,3d,Tinkercad,https://www.tinkercad.com,"浏览器端 3D 建模工具，适合学生和初学者快速上手。可直接在浏览器中完成 3D 建模、简单电路设计与基础编程体验，适合 3D 打印启蒙课程与创意设计课堂。",??,推荐,1,1
ai-deepseek,ai,DeepSeek,https://chat.deepseek.com/,深度推理与代码能力都很强，适合做资料整理、问答和编程辅助,,热门,1,2
ai-doubao,ai,豆包,https://www.doubao.com/chat/,适合日常问答、写作润色和多场景创作，学生上手门槛低,,热门,1,3
ai-hunyuan-3d,ai,腾讯混元3D,https://3d.hunyuan.tencent.com/,支持文生 3D 与图生 3D，适合创意建模和 3D 打印前期概念生成,,推荐,1,4
ai-kimi,ai,Kimi,https://www.kimi.com/zh/,擅长长文本阅读整理和资料总结，适合做研究与课程备课,,热门,1,5
ai-qianwen,ai,通义千问,https://www.qianwen.com/,适合中文写作、问答、代码和多模态任务，是常用的通用 AI 助手,,热门,1,6
template-ai,ai,在这里填写 AI 工具或课程名称,https://example.com,一句话说明这个 AI 资源适合谁、能做什么,??,待整理,0,91
template-programming,programming,在这里填写编程资源名称,https://example.com,一句话说明这条编程资料适合什么阶段的学生,??,待整理,0,92
template-hardware,hardware,在这里填写硬件与创客资源名称,https://example.com,一句话说明这个资源能支持什么硬件项目,??,待整理,0,93
template-3d,3d,在这里填写 3D 建模或打印资源名称,https://example.com,一句话说明这条 3D 资源适合做什么,???,待整理,0,94
template-robotics,robotics,在这里填写机器人资源名称,https://example.com,一句话说明这个机器人资源适合哪类项目,??,待整理,0,95
template-games,games,在这里填写游戏开发资源名称,https://example.com,一句话说明这条资源适合做什么类型的互动作品,??,待整理,0,96
template-math,math,在这里填写数学或算法资源名称,https://example.com,一句话说明它能帮助学生训练哪种数学思维,??,待整理,0,97
template-tools,tools,在这里填写实用工具名称,https://example.com,一句话说明这个工具在项目中怎么用,??,待整理,0,98
competition-00,competition,面向中小学生的全国性竞赛活动名单,http://www.moe.gov.cn/srcsite/A29/202510/t20251029_1418393.html?sessionid=,"教育部认可的全国性竞赛活动白名单：教育部办公厅关于公布 2025—2028 学年面向中小学生的全国性竞赛活动的通知",,推荐,1,2
competition-01,competition,全国青少年人工智能创新挑战赛,http://aiic.china61.org.cn/,全国青少年人工智能创新挑战赛，主办单位：中国少年儿童发展服务中心,,热门,1,3
competition-04,competition,宋庆龄少年儿童发明奖,https://sclaci.sclc2017.org/,宋庆龄少年儿童发明奖，主办单位：中国宋庆龄基金会、中国发明协会,,热门,1,4
competition-14,competition,全国青少年科技创新大赛,https://www.cyscc.org/castic/#/home,全国青少年科技创新大赛，主办单位：中国科协、自然科学基金委、共青团中央、全国妇联,,热门,1,5
competition-17,competition,全球发明大会（中国）,https://icc.cffpd.org.cn/,全球发明大会（中国），主办单位：中国友好和平发展基金会,,热门,1,6
competition-18,competition,全国青少年人工智能大赛,https://aic.cwicp.cn/,全国青少年人工智能大赛,,热门,1,7
Instructables,hardware,Instructables,https://www.instructables.com/circuits/,Instructables，全球最大、最知名的创客 / DIY 分步教程社区，口号：Share What You Make（分享你做的东西）,,推荐,1,8
CSDN,programming,CSDN,https://www.csdn.net/,CSDN = 中国最大、最老牌的中文 IT 开发者社区，中文开发者学习、查问题、找代码、看教程的核心平台。,,热门,1,9
Thingiverse,3d,Thingiverse,https://www.thingiverse.com,Thingiverse，全球最大、最老牌的免费 3D 打印模型社区,,推荐,1,10
DFRobot,hardware,DFRobot,https://www.dfrobot.com.cn/,DFRobot，国内头部开源硬件及科创教育品牌,,推荐,1,11
GrabCAD,3d,GrabCAD,https://grabcad.com/,GrabCAD 是 Stratasys 旗下专注增材制造 / 3D 打印的云端平台，也是全球最大专业 CAD/3D 模型社区之一。,,热门,1,12
MindPlus,tools,Mind+,https://mindplus.cc/,Mind+ 是 DFRobot 出品的一站式图形化编程 + AI 训练 + 界面设计创客软件,,推荐,1,13
LaserMaker,tools,LaserMaker,https://www.lasermaker.com.cn/,LaserMaker 是雷宇激光推出的集图形设计 + 激光切割 / 雕刻控制于一体的创客 / 教育专用软件，主打零基础快速激光造物。,,推荐,1,14
MakerWorld_cn,3d,MakerWorld_cn,https://makerworld.com.cn/zh,MakerWorld 中国站是拓竹科技（Bambu Lab）官方 3D 打印模型社区 + 云端一键打印平台，是目前国内高质量、多色、可直接打印的 3D 模型库首选。,,热门,1,15
Bambu Studio,tools,Bambu Studio,https://bambulab.com/zh/download/studio,Bambu Studio 是拓竹官方免费 3D 打印切片软件，专门给 Bambu Lab 打印机用，一键切片、稳、成功率极高。,,热门,1,16
Extract,tools,Extract,https://extract.pics/,extract.pics 是一款免费在线工具，可一键提取、预览、筛选并批量下载网页 / 文档里的所有图片，支持动态图、背景图、SVG，不用登录也能用。,,推荐,1,17
